volcano_number,volcano_name,eruption_number,vei,start_year,end_year,latitude,longitude,decade,country,region,subregion,elevation,tectonic_settings,volcano_type
282030,Suwanosejima,16947,2.0,2004-01-01,2020.0,29.638,129.714,2000.0,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,796.0,Subduction zone / Oceanic crust (< 15 km),Stratovolcano
266030,Soputan,16436,3.0,2004-01-01,2004.0,1.112,124.737,2000.0,Indonesia,Indonesia,Sulawesi,1785.0,Subduction zone / Continental crust (>25 km),Stratovolcano
264030,Rinjani,16226,2.0,2004-01-01,2004.0,-8.42,116.47,2000.0,Indonesia,Indonesia,Lesser Sunda Islands,3726.0,Subduction zone / Continental crust (>25 km),Stratovolcano
321050,St. Helens,20560,2.0,2004-01-01,2008.0,46.2,-122.18,2000.0,United States,Canada and Western USA,USA (Washington),2549.0,Subduction zone / Continental crust (>25 km),Stratovolcano
300260,Klyuchevskoy,19481,1.0,2004-01-01,2004.0,56.056,160.642,2000.0,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,4754.0,Subduction zone / Continental crust (>25 km),Stratovolcano
211060,Etna,13846,1.0,2004-01-01,2005.0,37.748,14.999,2000.0,Italy,Mediterranean and Western Asia,Italy,3295.0,Subduction zone / Continental crust (>25 km),Stratovolcano
283110,Asamayama,17810,2.0,2004-01-01,2004.0,36.406,138.523,2000.0,Japan,"Japan, Taiwan, Marianas",Honshu,2568.0,Subduction zone / Continental crust (>25 km),Complex Volcano
261140,Marapi,15479,2.0,2004-01-01,2004.0,-0.38,100.474,2000.0,Indonesia,Indonesia,Sumatra,2885.0,Subduction zone / Continental crust (>25 km),Complex Volcano
357120,Villarrica,12181,1.0,2004-01-01,2007.0,-39.42,-71.93,2000.0,Chile,South America,Central Chile and Argentina,2847.0,Subduction zone / Continental crust (>25 km),Stratovolcano
342110,Pacaya,19887,3.0,2004-01-01,2005.0,14.382,-90.601,2000.0,Guatemala,México and Central America,Guatemala,2569.0,Subduction zone / Continental crust (>25 km),Complex Volcano
351080,Galeras,11377,3.0,2004-01-01,2005.0,1.22,-77.37,2000.0,Colombia,South America,Colombia,4276.0,Subduction zone / Continental crust (>25 km),Complex Volcano
344100,Masaya,11039,1.0,2004-01-01,2004.0,11.985,-86.165,2000.0,Nicaragua,México and Central America,Nicaragua,594.0,Subduction zone / Continental crust (>25 km),Caldera
311161,Korovin,19766,1.0,2004-01-01,,52.381,-174.166,2000.0,United States,Alaska,Aleutian Islands,1518.0,Subduction zone / Continental crust (>25 km),Stratovolcano
234070,Marion Island,14414,1.0,2004-01-01,2004.0,-46.9,37.75,2000.0,South Africa,Middle East and Indian Ocean,Indian Ocean (southern),1230.0,Rift zone / Oceanic crust (< 15 km),Shield Volcano
261170,Kerinci,15529,2.0,2004-01-01,2004.0,-1.697,101.264,2000.0,Indonesia,Indonesia,Sumatra,3800.0,Subduction zone / Continental crust (>25 km),Stratovolcano
263310,Tengger Caldera,16063,2.0,2004-01-01,2004.0,-7.942,112.95,2000.0,Indonesia,Indonesia,Java,2329.0,Subduction zone / Continental crust (>25 km),Stratovolcano
284120,Ioto,18422,1.0,2004-01-01,2004.0,24.751,141.289,2000.0,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",169.0,Subduction zone / Crustal thickness unknown,Caldera
341090,Popocatepetl,10552,2.0,2004-01-01,2004.0,19.023,-98.622,2000.0,Mexico,México and Central America,Mexico,5393.0,Subduction zone / Continental crust (>25 km),Stratovolcano
268030,Ibu,16581,0.0,2004-01-01,2005.0,1.488,127.63,2000.0,Indonesia,Indonesia,Halmahera,1325.0,Subduction zone / Oceanic crust (< 15 km),Stratovolcano
223020,Nyamuragira,14083,2.0,2004-01-01,2004.0,-1.408,29.2,2000.0,DR Congo,Africa and Red Sea,Africa (central),3058.0,Rift zone / Continental crust (>25 km),Shield Volcano
233020,"Fournaise, Piton de la",14385,0.0,2004-01-01,2004.0,-21.244,55.708,2000.0,France,Middle East and Indian Ocean,Indian Ocean (western),2632.0,Intraplate / Oceanic crust (< 15 km),Shield Volcano
263340,Raung,16163,2.0,2004-01-01,2004.0,-8.119,114.056,2000.0,Indonesia,Indonesia,Java,3260.0,Subduction zone / Continental crust (>25 km),Stratovolcano
